"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Заказ через кнопку 'Заказать' (сверху)","17192","test_order_from_top_button","tests","2026-09-19","broken","2026-09-19","TestOrder","test_order","",""
"Тест: при клике на вопрос открывается соответствующий ответ","1592","test_question_opens_answer[5-\u0432\u043e\u0441\u0435\u043c\u044c \u0441\u0443\u0442\u043e\u043a]","tests","2026-09-19","passed","2026-09-19","TestQuestions","test_questions","",""
"Заказ через кнопку 'Заказать' (снизу)","16947","test_order_from_bottom_button","tests","2026-09-19","broken","2026-09-19","TestOrder","test_order","",""
"Тест: при клике на вопрос открывается соответствующий ответ","1216","test_question_opens_answer[3-\u0437\u0430\u0432\u0442\u0440\u0430\u0448\u043d\u0435\u0433\u043e \u0434\u043d\u044f]","tests","2026-09-19","passed","2026-09-19","TestQuestions","test_questions","",""
"Тест: при клике на вопрос открывается соответствующий ответ","1221","test_question_opens_answer[6-\u043e\u0431\u044a\u044f\u0441\u043d\u0438\u0442\u0435\u043b\u044c\u043d\u043e\u0439]","tests","2026-09-19","passed","2026-09-19","TestQuestions","test_questions","",""
"Тест: при клике на вопрос открывается соответствующий ответ","1416","test_question_opens_answer[1-\u043e\u0434\u0438\u043d \u0437\u0430\u043a\u0430\u0437]","tests","2026-09-19","passed","2026-09-19","TestQuestions","test_questions","",""
"Тест: при клике на вопрос открывается соответствующий ответ","1571","test_question_opens_answer[7-\u041c\u043e\u0441\u043a\u0432\u0435]","tests","2026-09-19","passed","2026-09-19","TestQuestions","test_questions","",""
"Тест: позитивный сценарий заказа самоката","19749","test_order_scooter_positive[top-\u0418\u0432\u0430\u043d-\u0418\u0432\u0430\u043d\u043e\u0432-\u041c\u043e\u0441\u043a\u0432\u0430, \u0443\u043b. \u041b\u0435\u043d\u0438\u043d\u0430, 1-\u0427\u0435\u0440\u043a\u0438\u0437\u043e\u0432\u0441\u043a\u0430\u044f-+79991112233-15.09.2026-\u0441\u0443\u0442\u043a\u0438-black-\u041f\u043e\u0437\u0432\u043e\u043d\u0438\u0442\u0435 \u0437\u0430 \u0447\u0430\u0441]","tests","2026-09-17","broken","2026-09-17","TestOrder","test_order","",""
"Тест: при клике на вопрос открывается соответствующий ответ","1393","test_question_opens_answer[4-1010]","tests","2026-09-19","passed","2026-09-19","TestQuestions","test_questions","",""
"Тест: при клике на вопрос открывается соответствующий ответ","1226","test_question_opens_answer[2-8 \u043c\u0430\u044f]","tests","2026-09-19","passed","2026-09-19","TestQuestions","test_questions","",""
"Тест: при клике на вопрос открывается соответствующий ответ","1169","test_question_opens_answer[0-\u0421\u0443\u0442\u043a\u0438]","tests","2026-09-19","passed","2026-09-19","TestQuestions","test_questions","",""
"Тест: позитивный сценарий заказа самоката","19941","test_order_scooter_positive[bottom-\u041f\u0451\u0442\u0440-\u041f\u0435\u0442\u0440\u043e\u0432-\u041c\u043e\u0441\u043a\u0432\u0430, \u0443\u043b. \u041f\u0443\u0448\u043a\u0438\u043d\u0430, 10-\u0421\u043e\u043a\u043e\u043b\u044c\u043d\u0438\u043a\u0438-+79994445566-16.09.2026-\u0434\u0432\u043e\u0435 \u0441\u0443\u0442\u043e\u043a-grey-\u041e\u0441\u0442\u0430\u0432\u044c\u0442\u0435 \u0443 \u043f\u043e\u0434\u044a\u0435\u0437\u0434\u0430]","tests","2026-09-17","broken","2026-09-17","TestOrder","test_order","",""
